dataset,measure,stat.o,p.value
EWAS19,cpg.loc,69.48574127,0.001
EWAS19,dhs,6.730155472,0.012
EWAS19,dip,11.99379836,0.002
EWAS19,direction,32.59587491,0.001
EWAS19,mad,8.772708017,0.007
EWAS19,mean,34.36882303,0.001
EWAS19,precision,23.43277888,0.001
EWAS19,probe.type,39.75040302,0.001
EWAS19,refgene.pos,19.8227999,0.001
EWAS19,sd.b,30.26800995,0.001
EWAS19,sd.m,38.18341406,0.001
EWAS20,chr,2.806044814,0.292
EWAS20,cpg.loc,2.271994422,0.41
EWAS20,dhs,2.497877281,0.235
EWAS20,dip,3.26863537,0.508
EWAS20,mad,5.442518175,0.105
EWAS20,mean,5.198701837,0.134
EWAS20,precision,3.870253541,0.365
EWAS20,probe.type,1.697431444,0.536
EWAS20,refgene.pos,2.650655627,0.315
EWAS20,sd.b,7.809221254,0.018
EWAS20,sd.m,6.976836704,0.023
EWAS21,chr,1.049256707,0.836
EWAS21,cpg.loc,1.590138313,0.662
EWAS21,dhs,0.433822036,0.99
EWAS21,dip,6.813970119,0.029
EWAS21,direction,1.180923857,0.803
EWAS21,mad,4.667760096,0.203
EWAS21,mean,2.747190946,0.672
EWAS21,precision,5.702019913,0.083
EWAS21,probe.type,0.71870614,0.937
EWAS21,refgene.pos,3.419486324,0.167
EWAS21,sd.b,4.039383961,0.31
EWAS21,sd.m,2.759437869,0.679
EWAS22,chr,2.625991477,0.301
EWAS22,cpg.loc,4.689018858,0.052
EWAS22,dhs,1.230361386,0.712
EWAS22,dip,2.689482568,0.684
EWAS22,direction,10.44494454,0.001
EWAS22,mad,18.04368227,0.001
EWAS22,mean,16.39112649,0.001
EWAS22,precision,15.69957187,0.001
EWAS22,probe.type,1.136660749,0.791
EWAS22,refgene.pos,7.791490544,0.007
EWAS22,sd.b,16.94645182,0.001
EWAS22,sd.m,3.580745797,0.427
EWAS23,chr,1.485763021,0.693
EWAS23,cpg.loc,1.368080267,0.693
EWAS23,dhs,3.009640843,0.146
EWAS23,dip,2.209519402,0.854
EWAS23,direction,0.622922694,0.95
EWAS23,mad,3.377733771,0.51
EWAS23,mean,3.30270041,0.485
EWAS23,precision,3.936388845,0.306
EWAS23,probe.type,0.665496506,0.941
EWAS23,refgene.pos,2.754677246,0.281
EWAS23,sd.b,4.297127758,0.25
EWAS23,sd.m,5.232368597,0.112
EWAS24,chr,4.244894807,0.113
EWAS24,cpg.loc,56.76256624,0.001
EWAS24,dhs,7.748349539,0.005
EWAS24,dip,47.41123469,0.001
EWAS24,direction,4.499672403,0.037
EWAS24,mad,211.0450266,0.001
EWAS24,mean,233.2206624,0.001
EWAS24,precision,166.381868,0.001
EWAS24,probe.type,34.93684767,0.001
EWAS24,refgene.pos,42.19490062,0.001
EWAS24,sd.b,215.1430071,0.001
EWAS24,sd.m,89.78833037,0.001
EWAS25,chr,1.393367356,0.716
EWAS25,cpg.loc,9.757031785,0.001
EWAS25,dhs,0.887700699,0.8
EWAS25,dip,2.175807811,0.84
EWAS25,direction,6.294387286,0.005
EWAS25,mad,4.201151276,0.251
EWAS25,mean,4.731694495,0.165
EWAS25,precision,5.7071975,0.078
EWAS25,probe.type,6.192929416,0.007
EWAS25,refgene.pos,2.913232291,0.252
EWAS25,sd.b,10.27029276,0.002
