dataset,method,measure,discovery
EWAS3,AdaPT,sd.m,0
EWAS3,AdaPT,mean,0
EWAS3,AdaPT,mad,0
EWAS3,AdaPT,dip,0
EWAS3,AdaPT,precision,0
EWAS3,AdaPT,direction,0
EWAS3,AdaPT,refgene.pos,0
EWAS3,AdaPT,cpg.loc,0
EWAS3,AdaPT,chr,0
EWAS3,AdaPT,dhs,0
EWAS3,AdaPT,probe.type,0
EWAS3,BL,sd.b,0
EWAS3,BL,sd.m,0
EWAS3,BL,mean,0
EWAS3,BL,mad,0
EWAS3,BL,dip,0
EWAS3,BL,precision,0
EWAS3,BL,direction,0
EWAS3,BL,refgene.pos,0
EWAS3,BL,cpg.loc,0
EWAS3,BL,chr,0
EWAS3,BL,dhs,0
EWAS3,BL,probe.type,0
EWAS4,IHW,sd.b,4219
EWAS4,IHW,sd.m,4189
EWAS4,IHW,mean,4068
EWAS4,IHW,mad,4097
EWAS4,IHW,dip,4410
EWAS4,IHW,precision,4263
EWAS4,IHW,direction,4039
EWAS4,IHW,refgene.pos,4117
EWAS4,IHW,cpg.loc,4038
EWAS4,IHW,chr,3997
EWAS4,IHW,dhs,4077
EWAS4,IHW,probe.type,4396
EWAS4,CAMT,sd.b,4763
EWAS4,CAMT,sd.m,4868
EWAS4,CAMT,mean,4944
EWAS4,CAMT,mad,4636
EWAS4,CAMT,dip,5133
EWAS4,CAMT,precision,5058
EWAS4,CAMT,direction,4664
EWAS4,CAMT,refgene.pos,4735
EWAS4,CAMT,cpg.loc,4759
EWAS4,CAMT,chr,4874
EWAS4,CAMT,dhs,4755
EWAS4,CAMT,probe.type,4909
EWAS4,FDRreg,sd.b,4619
EWAS4,FDRreg,sd.m,4619
EWAS4,FDRreg,mean,4599
EWAS4,FDRreg,mad,4602
EWAS4,FDRreg,dip,4678
EWAS4,FDRreg,precision,4627
EWAS4,FDRreg,direction,4597
EWAS4,FDRreg,refgene.pos,4602
EWAS4,FDRreg,cpg.loc,4602
EWAS4,FDRreg,chr,4595
EWAS4,FDRreg,dhs,4595
EWAS4,FDRreg,probe.type,4627
EWAS4,AdaPT,sd.b,4321
EWAS4,AdaPT,sd.m,4563
EWAS4,AdaPT,mean,4588
EWAS4,AdaPT,mad,4369
EWAS4,AdaPT,dip,4688
EWAS4,AdaPT,precision,4611
EWAS4,AdaPT,direction,4646
EWAS4,AdaPT,refgene.pos,4433
EWAS4,AdaPT,cpg.loc,4709
EWAS4,AdaPT,chr,4743
EWAS4,AdaPT,dhs,4762
EWAS4,AdaPT,probe.type,4714
EWAS4,BL,sd.b,5018
EWAS4,BL,sd.m,5010
EWAS4,BL,mean,4996
EWAS4,BL,mad,4983
EWAS4,BL,dip,5026
EWAS4,BL,precision,5049
EWAS4,BL,direction,4961
EWAS4,BL,refgene.pos,4973
EWAS4,BL,cpg.loc,4962
EWAS4,BL,chr,4948
EWAS4,BL,dhs,4960
EWAS4,BL,probe.type,5031
EWAS5,IHW,sd.b,4854
EWAS5,IHW,sd.m,4295
EWAS5,IHW,mean,4798
EWAS5,IHW,mad,4671
EWAS5,IHW,dip,4161
EWAS5,IHW,precision,4661
EWAS5,IHW,direction,4209
EWAS5,IHW,refgene.pos,4222
EWAS5,IHW,cpg.loc,4270
EWAS5,IHW,chr,4188
EWAS5,IHW,dhs,4151
EWAS5,IHW,probe.type,4372
EWAS5,CAMT,sd.b,8192
EWAS5,CAMT,sd.m,7850
EWAS5,CAMT,mean,8873
EWAS5,CAMT,mad,8475
